Part Number,QtyRealTimeOnHand,QtyOnPurchaseOrder,Minimum_Stock_Level,Custom_Real_01
AFLEX-SF-COVER,2,0,0,1
AV-BOX,96,0,0,1
AV-CONN,15842,0,0,1
AV-MS,4796,0,1000,1
AVLED-4000K,0,0,0,1
AVLED-IW,2735,0,500,1
AVLED-LW,749,0,0,1
AVLED-WW,856.93,2500,1000,1
AVXF-100,6400,0,0,0.328
AVXF-2000K,1759.678,0,0,1
AVXF-2400K,11804.049,0,10000,1
AVXF-2700K,154.966,4500,2500,1
AVXF-3000K,12539.739,0,5000,1
AVXF-3500K,3186.56,0,2500,1
AVXF-4000K,3010.5,0,2500,1
AVXF-60,2605.671,0,2000,0.197
AVXF-75,3375.94,0,2500,0.246
AVXF-CP,3852,0,2000,1
AVXF-KC,1321.74,0,1000,1
AVXF-MC,3924.1,0,1500,8.2
BB-301,1600,0,0,1
BCON,240,0,0,0
C2-120-12V,1,0,0,1
C2-12DC-RPG,67,0,0,1
C2-180-12V,8,0,0,1
C2-192-24V,3,0,0,1
C2-240-12V,3,0,0,1
C2-24DC-RPG,226,0,0,1
C2-288-24V,0,0,0,1
C2-288-24V/277,0,0,0,1
C2-300-12V,0,0,0,1
C2-300-12V/277,0,0,0,1
C2-40-24V,12,0,0,1
C2-480-24V,4,0,0,1
C2-480-24V/277,0,0,0,1
C2-60-12V,32,0,25,1
C2-6DC-RPG,58,0,0,1
C2-8DC-RPG,67,0,0,1
C2-96-24V,5,0,0,1
C2-96-24V/277,5,0,0,1
CABLE-BK,43713.445,0,50000,1
CABLE-CAT5-25,92,0,50,1
CABLE-CAT5-50,52,0,0,1
CABLE-RW-BLACK,11632,0,0,1
CABLE-WH,30122.12,0,25000,1
CC-40-DIODE,49,0,25,1
CC-BOX,44,0,0,1
CC-LENS,81,0,0,1
CL-100,2008.8,0,1000,3.28
CL-150,3268.997,0,1000,3.28
CL-202,8112.842,0,5000,1
CL-203,14979.59,0,10000,1
CL-30,1665.44,0,1640,3.28
CL-300,135,0,0,3.28
CL-50,5377.52,0,1640,3.28
CL-80,1640.44,0,1640,3.28
CLED-2000K,6067.08,500,5000,1
CLED-2500K,28403.74,0,5000,1
CLED-2700K,0,0,0,1
CLED-3000K,8693.73,0,5000,1
CLED-5000K,6565.86,0,5000,1
CLED-AM,5589.52,0,2500,1
CLED-BL,2464.97,0,2500,1
CLED-GR,6616.36,0,2500,1
CLED-RD,4710.33,0,2500,1
CT-B,15538.69,0,0,1
CT-DF,4274.65,0,0,1
CT-EC,584,0,500,1
CT-S,6788.22,0,5000,1
CTO-CP,4846,0,2500,1
EC-D,2732,0,1000,1
EC-FL,6880,0,1000,1
EC-L,8793,0,1000,1
ECD-BK,5849,0,1000,1
ECD-CL,8060,0,1000,1
ECD-WH,1381,0,1000,1
ECL-BK,4319,0,1000,1
ECL-CL,6780,0,1000,1
ECL-WH,8295,0,1000,1
ECM-L,2080,0,1000,1
ECW-L,3517,0,1000,1
ENCL12124,0,0,0,1
ENCL12124-3R,50,0,0,1
EX-112,339.095,0,0,1
EX-124,3657.728,0,2500,1
EX-212,1801.457,0,0,1
EX-BL,2158.064,0,1000,1
EX-CNT,44855.998,40000,40000,1
EX-CS-P,1284,0,0,1
EX-CS1,817,0,100,1
EX-CS2,802,0,100,1
EX-CS3,140,0,100,1
EX-CS4,588,0,100,1
EX-EB,30,0,0,1
EX-G14-CL,9863.496,0,5600,1
EX-G14-FR,15434.277,0,5600,1
EX-GR,1204.464,0,1000,1
EX-HD-NUT,276,0,500,1
EX-HD-SCREW,516,0,500,1
EX-LSK-BK,14758.963,20000,20000,1
EX-LSK-WH,13942.402,0,10000,1
EX-MD-BK,6539,0,5000,1
EX-MD-WH,5625,0,5000,1
EX-MDA-BK,9909,0,10000,1
EX-MDA-WH,9261,0,5000,1
EX-MS-BK,9222,0,5000,1
EX-MS-WH,6483,0,5000,1
EX-OR-22,47178.984,0,40000,1
EX-PEND,285,0,100,1
EX-PEND-CV-BK,66,0,25,1
EX-PEND-CV-BR,47,0,25,1
EX-PEND-CV-WH,47,0,25,1
EX-PL,1068.164,0,1000,1
EX-RD,1388.064,0,1000,1
EX-S-AM,645.55,0,0,1
EX-S-BL,915,0,0,1
EX-S-CL,2293.58,0,0,1
EX-S-FR,1794.04,0,0,1
EX-S-GR,846,0,0,1
EX-S-RD,480,0,0,1
EX-S-VL,951,0,0,1
EX-S14-CL,7348.674,0,5000,1
EX-S14-FR,6425.345,0,5000,1
EX-SCR,90989.348,81000,80000,1
EX-SH,7235.753,0,5000,1
EX-SPH-AM,2048.696,0,1000,1
EX-SPH-BL,2021.808,0,1000,1
EX-SPH-CL,9159.672,11200,10000,1
EX-SPH-FR,18163.377,11200,10000,1
EX-SPH-GR,930.372,0,1000,1
EX-SPH-RD,1328.353,0,1000,1
EX-SPH-VL,1295.326,0,1000,1
EX-TK,981,0,50,1
EX-UB-2700K,75,0,0,1
EX-UB-IW,7046.374,0,7500,1
EX-UB-LW,4341.677,0,5000,1
EX-UB-WW,4878.747,5000,7500,1
EX-USK-BK,15911.508,20000,20000,1
EX-USK-WH,12362.215,0,10000,1
EX-VI-2700K,357.49,0,0,1
EX-VI-5000K,1704,0,1000,1
EX-VI-IW,4396.466,5000,7500,1
EX-VI-LW,4552.746,0,5000,1
EX-VI-WW,6662.212,5000,7500,1
EX-WH,3088.746,0,2500,1
EX-WR,2601,0,0,1
EX-WW,13385.578,0,7500,1
EX-YG,2057.384,0,1000,1
EXC-EC,897,0,200,1
EXC-SPL,1520,0,200,1
EXCH-B-NA,6107,0,5000,1
EXCH-B-SA,4549.214,0,5000,1
EXCH-B2-NA,4762,0,2500,1
EXCH-B2-SA,542.05,0,2500,1
EXCH-C-NA,4126,0,2500,1
EXCH-C-SA,7927.514,0,5000,1
EXSS-CABLE,542,0,200,1
EXSS-CP-CG,791,0,50,1
EXSS-CP-FLG-BK,147,0,25,1
EXSS-CP-FLG-WH,48,0,25,1
EXSS-CP-SCR,390,0,100,1
EXSS-CP-SPG,288,0,100,1
EXSS-PM-CVR-BK,59,0,25,1
EXSS-PM-CVR-WH,48,0,25,1
EXSS-PM-FRAME,108,0,50,1
EXSS-PM-SCR,212,0,100,1
EXSS-PM-SPG,116,0,50,1
FILTER-DIFFUSER,400,0,0,1
FL-200,2659,0,2000,1
FL-300,2259,0,2000,1
FL-400,1019,0,0,1
FLBK,7607.298,0,5000,3.28
FLBK-110-HM,7253.276,0,2500,0.361
FLBK-160-HM,9353.966,0,5000,0.525
FLBK-210-HM,10111.5,0,5000,0.689
FLBK-310-HM,11872.607,0,5000,1.02
FLBK-410-HM,7032.727,0,2500,1.35
FLBK-60-HM,4406.029,0,2500,0.197
FLGR,8200,0,5000,3.28
FLN-3000K-03D-B,16,0,10,1
FLN-5000K-03D-B,7,0,10,1
FLWG,9599.656,0,5000,3.28
FLWG-110-HM,735.165,0,0,0.361
FLWG-160-HM,7789.971,0,3930,0.525
FLWG-210,5203.3,0,0,3.28
FLWG-210-HM,7750.127,0,3440,0.689
FLWG-310-HM,5437.422,0,5280,1.02
FLWG-410-HM,807,0,0,0
FSM-3000K-03D-B,16,0,10,1
FSM-3000K-03D-W,17,0,10,1
FSM-5000K-03D-B,23,0,10,1
FSM-5000K-03D-W,15,0,10,1
FSM-LNS-CL,477,0,100,1
FSP-3000K-03D-B,15,0,10,1
FSP-4000K-03D-B,0,0,0,1
FSP-5000K-03D-B,15,0,10,1
GRHB-100,588.652,0,100,1
GRHB-2200,0,0,0,1
GRHB-2200-L,17,0,0,1
GRHB-2700,1921,0,1000,1
GRHB-2700-L,1257,0,500,1
GRHB-3000,2158,0,1000,1
GRHB-3000-L,807,0,500,1
GRHB-3500,114,0,0,1
GRHB-4000,1678,0,1000,1
GRHB-4000-L,751,0,500,1
GRHB-60,234.8,0,100,1
GRHB-75,151.343,0,100,1
GRHB-AB,1519,0,1000,1
GRHB-BASE,492.795,0,400,1
GRHB-EC,707,0,500,1
GRHB-FB,845,0,500,1
GRHB-GLVR,193.901,0,100,1
GRHB-HLVR,950,0,1000,1
GRHB-LC,3343,0,3000,1
GRHB-LNS-15D,1279,0,1000,1
GRHB-LNS-8D,1862,0,1000,1
GRHB-LNS-SP,2715,0,1000,1
GRHB-PLVR,2501,0,1000,1
GRX-2700-15D-1200,56,0,100,1
GRX-2700-15D-300,42,0,50,1
GRX-2700-15D-600,137,0,75,1
GRX-3000-15D-1200,226,0,250,1
GRX-3000-15D-300,147,0,100,1
GRX-3000-15D-600,129,0,100,1
GRX-4000-15D-1200,110,0,100,1
GRX-4000-15D-300,56,0,50,1
GRX-4000-15D-600,84,0,75,1
GRX-CABLE,484,0,200,1
GRX-CON,381,0,300,1
GRX-CP,484,0,250,1
GRX-EC,556,0,300,1
GRX-EXT-1M,170,0,200,1
GRX-EXT-3M,227,0,200,1
GRX-LVR,1940,0,500,1
GRX-LVR-BK,57.25,0,500,1
GRX-LVR-MILL,3200,0,2500,1
GRX-LVR-SCREW,2875,0,2500,1
GRX-Y-CON,265,0,200,1
HC-10/BOX-GSKT,161,0,200,1
HC-10/PLUG,894,0,200,1
HINGE-BK,1606,0,500,1
ILS-BASE,638,0,500,1
ILS-COVER,676,0,500,1
ILS-EC,647,0,500,1
ILS-FB,856,0,500,1
KLED-IW-CF,2710.89,0,2500,1
KLED-IW-FF,2920.86,0,2500,1
KLED-IW-SF,3914.81,0,2500,1
KLED-WH-FF,814.16,0,0,1
KLED-WH-SF,59.16,0,0,1
KLED-WH-ST,0.002,0,0,1
KLED-WW-CF,3906.195,0,2500,1
KLED-WW-CT,2837.85,0,2500,1
KLED-WW-SF,4366.71,0,2500,1
KS-GS-LW,0,0,0,1
KSG-CABLE,2186.1,0,1000,1
KSG-CONTACT,8640.17,6000,15000,1
KSG-ED,511,0,500,1
KSG-GL-UB-C,1688.2,0,1000,1
KSG-GL-UB-F,2065.27,0,2000,1
KSG-GL-VI-C,1710.4,0,2000,1
KSG-GS-LW,2516.87,0,2000,1
KSG-LR,3025.39,0,2000,1
KSG-LR-SCR,2825.39,0,2000,1
KSG-LSK-BK,6142.39,0,5000,1
KSG-MC-2.4M-BK,50.48,0,50,1
KSG-MD,1832,0,1000,1
KSG-MDA,6199,0,2000,1
KSG-MS,1196,0,1000,1
KSG-PM,1223,0,1000,1
KSG-RGBW,4513.39,0,5000,1
KSG-SEAL-MOD,5995.39,0,5000,1
KSG-SKT-SCR,24530.56,0,20000,1
KSG-USK-BK,5819.39,0,5000,1
KSW-CON-DC-30M,30,0,25,1
KSW-CON-LC-10M,34,0,25,1
KSW-CON-T,28,0,25,1
KSW-EXT-1M,22,0,25,1
KSW-EXT-DC-15M,26,0,25,1
KSW-L1200-RGBW-20D,34,0,25,1
KSW-L300-RGBW-20D,39,0,25,1
KSW-L600-RGBW-20D,25,0,25,1
KSW-L900-RGBW-20D,21,0,20,1
LC-1CH-DP,197,0,100,1
LC-1CH-MULTI,363,500,500,1
LC-3CH-CM,7,0,5,1
LC-3CH-DMX,334,0,0,1
LC-3CH-DP,45,0,25,1
LC-DMR,13,0,10,1
LC-DMR-BKK,57,0,30,1
LC-DMR-EZ,46,0,25,1
LC-DMR-SVK,60,0,30,1
LC-DMX-5A,300,0,0,1
LC-DMX-BUD,8,0,0,1
LC-GR-DP,21,0,20,1
LC-KSG-MIX,83,0,50,1
LC-KSW-DC,23,0,25,1
LC-KT-DMR,12,0,0,1
LC-KT-DP,90,0,0,1
LC-KT-SCDP,12,0,0,1
LC-OB-DIM,4,0,0,1
LC-PWM-SD,288,0,25,1
LC-SPL-DMX,1,0,0,1
LC-SPL2-DMX,0,0,0,1
LDCC-50W-700DALI,3,0,0,1
LDR-DIM,194,0,100,1
LDR24-120-DALI,45,0,0,1
LDR24-16,156,0,25,1
LDR24-192,155,0,0,1
LDR24-25,75,0,25,1
LDR24-40,171,0,50,1
LDR24-60,4,0,0,1
LDR24-96,352,0,200,1
LDR24-96W,185,0,100,1
LDR8-40,1131,0,1500,1
LDR8-80,473,1008,1000,1
LDRCC-10,187,0,0,1
LDRCC-40,620,0,100,1
LINECORD10,40,0,0,1
LPS-350-6CH,27,0,0,1
LPSDM-350-6CH,82,0,50,1
LSB-100,3586.64,0,2000,3.28
LSB-150,2792.04,0,2000,3.28
LSB-30,50,0,0,3.28
LSB-300,3369.6,0,2000,3.28
LSB-50,0.4,0,0,3.28
LSB-80,0,0,0,3.28
LSC-100,2801.48,0,2000,3.28
LSC-150,5784.8,0,2000,3.28
LSC-30,1634,0,1000,3.28
LSC-300,2193.8,0,2000,3.28
LSC-50,1434.24,0,1000,3.28
LSC-80,1484,0,0,3.28
LSW-100,1613.56,1640,2000,3.28
LSW-15,1238.76,0,0,3.28
LSW-150,8106.6,0,2000,3.28
LSW-30,2723.2,0,2000,3.28
LSW-300,2788.24,0,2000,3.28
LSW-50,2535.58,0,2000,3.28
LSW-80,2136.04,0,2000,3.28
LUM-100-BL,804.44,0,1000,0.328
LUM-100-IW,1283.32,0,1500,0.328
LUM-100-WH,1480.36,0,1000,0.328
LUM-50-BL,1218.88,0,1000,0.164
LUM-50-IW,2199.882,0,2000,0.164
LUM-50-WH,1649.92,0,1000,0.164
LUM-LEAD,1947.84,0,1000,3.28
LV-BKT,2029,0,1000,1
LV-CH-WH,1540.2,0,1000,1
LV-CON,421,0,150,1
LV-CVR,2246.2,0,1000,1
LV-ECR,378,0,300,1
LV-ECS,281,0,300,1
LV-LTC,414,0,400,1
LV-SCR-SV,2142,0,400,1
LV-WFL,3,0,1,1
LVM-2700K,434,0,400,1
LVM-3000K,211,0,200,1
LVM-3500K,50,0,0,1
LVM-4000K,168,0,150,1
MC-BW,5698.67,0,5000,1
MC-DF,2288.688,0,0,1
MC-EC,1605,0,500,1
MC-ECL,5190,0,500,1
MC-S,3571.47,0,5000,1
MDBS-3000K-L1200-BK,10,0,0,1
